location_id,latitude,longitude,geoid_cb,county_fips
37558915,35.939993,-80.153014,370570602012022,37057
2792714,35.939797,-80.368195,370570603032002,37057
70507974,35.7665,-80.151113,370570619022008,37057
37300162,36.01022,-80.456107,370590802002003,37059
37377169,35.808741,-80.472466,370590807013012,37059
37376203,36.009876,-80.623518,370590801011037,37059
37297698,35.912394,-80.45513,370590804004014,37059
2814017,35.838053,-80.617357,370590801022067,37059
37379858,35.911084,-80.622086,370590801021014,37059
178338838,34.949959,-78.060967,370610904012016,37061
41692691,35.114695,-77.785562,370610901011005,37061
41721652,34.953374,-77.789471,370610905032002,37061
41605472,34.791943,-78.059224,370610908031021,37061
41725648,34.790012,-77.785089,370610906003020,37061
41224037,35.111698,-78.054059,370610902012000,37061
173552845,35.926686,-78.784637,370630019003001,37063
38328251,36.171361,-78.811956,370630021004020,37063
178028627,36.175388,-78.933803,370630021001000,37063
39199501,36.053571,-78.783735,370630018013011,37063
39295582,35.926717,-78.935463,370630020241000,37063
196167489,36.052589,-78.936126,370630017122001,37063
39312671,35.911818,-77.707351,370650213001013,37065
178068037,36.030954,-77.476259,370650208001000,37065
39545413,35.910962,-77.467681,370650208002009,37065
39447600,35.753367,-77.708879,370650215003014,37065
39353474,36.060563,-77.709795,370650206001000,37065
39545919,35.784598,-77.492957,370650208003060,37065
37851534,36.046946,-80.115218,370670034022001,37067
37303703,36.190079,-80.114998,370670031052002,37067
37428649,36.188903,-80.435944,370670041021010,37067
37580002,36.045737,-80.274535,370670037024002,37067
37501836,36.189386,-80.274674,370670028061004,37067
37317754,36.045699,-80.433538,370670040072024,37067
173464623,35.94278,-78.399178,370690606011011,37069
178759942,36.049878,-78.410125,370690605022019,37069
38687861,36.188605,-78.400085,370690601001008,37069
38715888,36.191332,-78.144333,370690602001010,37069
38716347,36.050316,-78.144842,370690607022009,37069
39533055,35.923422,-78.19208,370690608011019,37069
40375628,35.350613,-81.014816,370710301031014,37071
40070138,35.215041,-81.323896,370710317061031,37071
39964933,35.219394,-81.18979,370710332021020,37071
190716594,35.352389,-81.189899,370710303013037,37071
39786896,35.351378,-81.367583,370710307002020,37071
39763433,35.218042,-81.015065,370710324051018,37071
39664624,36.500345,-76.871157,370739703001022,37073
39665245,36.498122,-76.729097,370739702002001,37073
39663139,36.390176,-76.848475,370739703003034,37073
39666893,36.376143,-76.730399,370739701004012,37073
39677904,36.369765,-76.596868,370739701003038,37073
39651963,36.49106,-76.598386,370739701002012,37073
34909709,35.288235,-83.936854,370759203001020,37075
42608153,35.285168,-83.79388,370759203004015,37075
194551783,35.38029,-83.88646,370759201001108,37075
42349424,35.388805,-83.655902,370759201002002,37075
42607012,35.393631,-83.797687,370759201001092,37075
193015494,35.280057,-83.686569,370759202002002,37075
38756647,36.281518,-78.713408,370779707012024,37077
38756955,36.453859,-78.540162,370779701013011,37077
38529811,36.113114,-78.542048,370779706012007,37077
38758612,36.28252,-78.537602,370779705001007,37077
38515086,36.108473,-78.7152,370779706071020,37077
38759531,36.450787,-78.716962,370779701011063,37077
41758348,35.400625,-77.571274,370799503013038,37079
41921178,35.491652,-77.567993,370799501021019,37079
41922870,35.400194,-77.744928,370799502003028,37079
39384883,35.55647,-77.589838,370799501023000,37079
39549598,35.596069,-77.739951,370799501011006,37079
195859118,35.497376,-77.74309,370799502001036,37079
178506942,36.167333,-79.960593,370810160032005,37081
37739159,35.989816,-79.961082,370810144122004,37081
37827238,35.98943,-79.617929,370810170003025,37081
38304360,36.167326,-79.791797,370810157061015,37081
94248090,35.989323,-79.788831,370810168002069,37081
37717776,36.16846,-79.618413,370810154013007,37081
39429203,36.384853,-77.641842,370839301004043,37083
186773552,36.124707,-77.404033,370839311022020,37083
178096314,36.387494,-77.878755,370839307011011,37083
39377446,36.156782,-77.879721,370839308004032,37083
39378814,36.147141,-77.621798,370839309022003,37083
39428540,36.301095,-77.480819,370839310002000,37083
192858452,35.482673,-78.650827,370850704021000,37085
41063294,35.296808,-79.106877,370850714011048,37085
178257026,35.436733,-79.053792,370850711023006,37085
178665492,35.487884,-78.876639,370850710033003,37085
41056912,35.296004,-78.877331,370850712011025,37085
41104419,35.294084,-78.649238,370850705004000,37085
42664055,35.430948,-83.066098,370879212021055,37087
194578737,35.66041,-82.875225,370879201022006,37087
42429278,35.432144,-82.867541,370879213023076,37087
42646134,35.678043,-83.040184,370879201011033,37087
42646461,35.55899,-83.065853,370879201014007,37087
42441120,35.558483,-82.866393,370879202011007,37087
42690155,35.433346,-82.362942,370899301001021,37089
177955015,35.320506,-82.363007,370899302012020,37089
70673073,35.322344,-82.55785,370899319011020,37089
195072354,35.211753,-82.551803,370899319021015,37089
195316771,35.434591,-82.561701,370899307011004,37089
42612983,35.210858,-82.363042,370899320003041,37089
39451073,36.460299,-77.125661,370919501022001,37091
39368095,36.444441,-76.964545,370919501021008,37091
39669905,36.313283,-76.793375,370919502011006,37091
39345160,36.305579,-77.116325,370919503002002,37091
39637651,36.316937,-76.953709,370919502022034,37091
41261173,35.036133,-79.233587,370939701043007,37093
41267619,34.925095,-79.350404,370939702022047,37093
3829956,35.044953,-79.382418,370939702011000,37093
41281875,34.907375,-79.244863,370939704023019,37093
41185580,34.906475,-79.106739,370939704011079,37093
178572913,35.042568,-79.104912,370939701051001,37093
39524953,35.425186,-76.474757,370959201022146,37095
39356643,35.597453,-76.468898,370959201023061,37095
39381236,35.569305,-76.127685,370959201012036,37095
178658731,35.407439,-76.094136,370959201011067,37095
192998098,35.115503,-75.988028,370959201013002,37095
40194822,35.589258,-80.797477,370970615012027,37097
42114039,35.965918,-81.003893,370970609011072,37097
42113254,35.775715,-80.798819,370970606032001,37097
42115756,35.777015,-81.003721,370970611021014,37097
42131916,35.969408,-80.79524,370970608013022,37097
40217293,35.570226,-80.953516,370970614012001,37097
42455960,35.159462,-83.220942,370999508002023,37099
42438508,35.442897,-83.247504,370999402004035,37099
177957692,35.275124,-83.030561,370999507002064,37099
