idx,location_id,county_fips,lat,lon,feasible,failure_mode,risk_score,risk_tier,dominant,slope_deg,canopy_max_m,building_count,elapsed_s
549,38838456,37185,36.268074,-78.003102,False,mixed,76.5,critical,vegetation,0.9,22.0,1,2.0
550,39443627,37185,36.488174,-78.003333,False,mixed,89.3,critical,vegetation,4.9,24.0,1,3.5
551,38839707,37185,36.376023,-78.212013,True,feasible,0.0,low,clear,3.6,24.0,4,1.5
552,178071298,37185,36.369492,-78.002238,True,feasible,0.0,low,clear,2.6,25.0,3,2.4
553,39715422,37187,35.7645,-76.742497,True,feasible,0.0,low,clear,1.3,19.0,6,1.9
554,39720960,37187,35.790424,-76.597408,True,feasible,0.0,low,clear,0.1,0.0,0,2.1
555,39720356,37187,35.90582,-76.595072,True,feasible,0.0,low,clear,1.0,24.0,0,2.1
556,39654125,37187,35.800399,-76.426365,True,feasible,0.0,low,clear,1.3,30.0,7,1.8
557,39712986,37187,35.89286,-76.729468,False,mixed,90.1,critical,vegetation,1.7,25.0,2,3.6
558,39653824,37187,35.898095,-76.441761,False,mixed,89.3,critical,vegetation,0.4,20.0,2,2.3
559,42086298,37189,36.187369,-81.534006,True,feasible,5.9,low,vegetation,0.2,26.0,2,1.7
560,42317703,37189,36.320425,-81.686766,False,mixed,90.2,critical,vegetation,12.9,20.0,0,2.3
561,42117067,37189,36.271121,-81.544532,False,mixed,86.4,critical,vegetation,13.4,22.0,2,1.7
562,25715779,37189,36.181415,-81.835591,False,mixed,74.4,critical,vegetation,16.1,23.0,3,3.2
563,42330526,37189,36.317946,-81.834057,False,mixed,89.9,critical,vegetation,28.9,22.0,2,2.4
564,42032343,37189,36.183411,-81.684619,False,mixed,43.6,moderate,vegetation,7.6,20.0,3,1.8
565,173725287,37191,35.232396,-77.930865,True,feasible,0.0,low,clear,1.9,15.0,4,3.9
566,71009269,37191,35.229965,-78.173961,True,feasible,0.0,low,clear,1.0,22.0,1,6.7
567,39390428,37191,35.522091,-77.929279,False,mixed,40.8,moderate,vegetation,0.0,19.0,0,1.7
568,194391610,37191,35.487239,-78.117331,False,local_building,58.1,high,building,1.9,15.0,9,1.8
569,38763173,37191,35.373098,-78.153843,True,feasible,0.0,low,clear,0.5,22.0,0,1.9
570,58581173,37191,35.37780266666667,-77.92800166666667,False,mixed,83.9,critical,vegetation,0.5,21.0,17,1.7
571,42252137,37193,36.121258,-80.978931,False,mixed,90.6,critical,vegetation,5.8,23.0,1,5.7
572,42098576,37193,36.110485,-81.431197,False,mixed,88.8,critical,vegetation,1.7,22.0,0,1.6
573,178055952,37193,36.325137,-81.208663,False,mixed,89.8,critical,vegetation,10.8,21.0,0,3.0
574,178859547,37193,36.329739,-80.98259,False,mixed,52.8,high,vegetation,3.1,22.0,4,9.2
575,42343274,37193,36.120143,-81.207206,False,mixed,90.3,critical,vegetation,14.3,31.0,0,3.0
576,42337365,37193,36.292196,-81.410183,False,mixed,90.4,critical,vegetation,15.2,22.0,1,4.4
577,39597522,37195,35.65803,-77.93065,False,local_canopy,0.0,low,clear,2.2,19.0,6,3.8
578,39610381,37195,35.793576,-77.930717,True,feasible,0.0,low,clear,2.9,26.0,8,14.1
579,39535708,37195,35.653007,-77.755927,False,mixed,73.9,critical,vegetation,2.8,21.0,0,2.7
580,39529334,37195,35.766649,-78.091704,True,feasible,0.0,low,clear,3.3,23.0,10,9.9
581,39374324,37195,35.792611,-77.762377,True,feasible,0.0,low,clear,0.3,0.0,0,3.1
582,178881422,37195,35.655477,-78.103158,True,feasible,0.0,low,clear,1.5,21.0,4,1.7
583,178063451,37197,36.106772,-80.658298,False,mixed,76.6,critical,vegetation,4.2,21.0,5,1.8
584,37332173,37197,36.224728,-80.510536,False,mixed,90.2,critical,vegetation,11.3,22.0,8,9.3
585,37305690,37197,36.226819,-80.658231,True,feasible,0.0,low,clear,2.1,24.0,11,1.7
586,177979439,37197,36.22615,-80.806933,True,feasible,0.0,low,clear,5.5,20.0,1,4.9
587,37450102,37197,36.110375,-80.515163,True,feasible,0.0,low,clear,2.8,16.0,2,7.1
588,37339121,37197,36.106596,-80.806167,True,feasible,0.0,low,clear,2.3,20.0,12,7.5
589,190723794,37199,35.805146,-82.218492,False,mixed,90.4,critical,vegetation,18.3,25.0,1,10.3
590,195321476,37199,35.908591,-82.414953,False,mixed,90.8,critical,vegetation,19.3,25.0,0,2.8
591,42517190,37199,36.012869,-82.229576,True,feasible,0.0,low,clear,20.0,25.0,0,6.6
592,109224476,37199,36.016107,-82.409494,False,mixed,90.8,critical,vegetation,33.7,26.0,0,4.1
593,42402077,37199,35.909895,-82.232425,True,feasible,0.0,low,clear,3.5,25.0,9,4.4
594,42402637,37199,35.832969,-82.407752,False,mixed,32.0,moderate,vegetation,5.9,31.0,2,1.7
