geoid_bg,n_points,mean_risk,median_risk,n_feasible,pct_feasible,n_infeasible,pct_low,pct_moderate,pct_high,pct_critical,dominant_mode
371259505031,1,46.8,46.8,0,0.0,1,0.0,0.0,100.0,0.0,building
371259505041,1,90.3,90.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371259506041,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371259507022,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371270105061,1,80.3,80.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371270108011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371270109002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371270110001,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371270112011,1,88.9,88.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371270114002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371290115032,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371290116121,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371290118001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371290118002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371290121113,1,36.3,36.3,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371290122021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371319201012,1,55.5,55.5,0,0.0,1,0.0,0.0,100.0,0.0,building
371319201031,1,89.6,89.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371319202022,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371319203011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371319203012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371319203032,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371319204013,1,13.1,13.1,0,0.0,1,100.0,0.0,0.0,0.0,vegetation
371330001031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371330002072,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371330003051,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371330004011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371330004031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371330025002,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371350108025,1,69.5,69.5,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371350108041,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371350109043,1,90.7,90.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371350111072,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371350112112,1,90.5,90.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371350115001,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371379501011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371379501013,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371379501041,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371379501042,1,33.7,33.7,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371379502023,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371379502041,1,89.7,89.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371399605012,1,90.1,90.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371399605032,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371399606003,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371399607013,1,43.7,43.7,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371399607023,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371419202011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371419202042,2,51.5,51.5,0,0.0,2,50.0,0.0,0.0,50.0,vegetation
371419203001,1,88.4,88.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371419205011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371419205021,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371419206021,1,26.7,26.7,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371439201011,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371439201021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371439201022,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371439201023,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371439202011,1,65.3,65.3,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371459201001,1,90.5,90.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371459201004,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371459202002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371459202003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371459205003,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
